Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Man United,38,28,5,5,89,33,56,89
2,Man City,38,28,5,5,93,29,64,89
3,Arsenal,38,21,10,7,74,49,25,70
4,Tottenham,38,20,9,9,66,41,25,69
5,Newcastle,38,19,11,8,56,51,5,65
6,Chelsea,38,18,10,10,65,46,19,64
7,Everton,38,15,12,11,50,40,10,56
8,Liverpool,38,14,14,10,47,40,7,52
9,Fulham,38,14,14,10,48,51,-3,52
10,Norwich,38,12,15,11,52,66,-14,47
11,West Brom,38,13,17,8,45,52,-7,47
12,Swansea,38,12,15,11,44,51,-7,47
13,Stoke,38,11,15,12,36,53,-17,45
14,Sunderland,38,11,15,12,45,46,-1,45
15,Wigan,38,11,17,10,42,62,-20,43
16,Aston Villa,38,7,14,17,37,53,-16,38
17,QPR,38,10,21,7,43,66,-23,37
18,Bolton,38,10,22,6,46,77,-31,36
19,Blackburn,38,8,23,7,48,78,-30,31
20,Wolves,38,5,23,10,40,82,-42,25
